model,accuracy,precision,recall,f1,roc_auc,average_precision
XGBoost,0.965,0.9490022172949002,0.9237410071942446,0.9362012395187751,0.9879971701309312,0.980243067230411
Logistic Regression,0.9562,0.923355025307303,0.918705035971223,0.9210241615578796,0.983846828354491,0.9730296838967024
Random Forest,0.9532,0.9558359621451105,0.8719424460431655,0.9119638826185101,0.9811411148089839,0.968191542599176
Decision Tree,0.9442,0.8854961832061069,0.9179856115107914,0.9014482515012363,0.9690411327447738,0.9556086549965778
Baseline,0.722,0.0,0.0,0.0,0.5,0.278
